pm10,pm25,co,so2,no2,o3,datatime
33,23,0.7,0.003,0.025,0.011,02
36,25,0.7,0.003,0.022,0.019,01
34,24,0.7,0.003,0.023,0.027,24
34,24,0.6,0.003,0.021,0.031,23
31,22,0.6,0.003,0.017,0.039,22
31,21,0.5,0.003,0.015,0.044,21
30,22,0.5,0.003,0.015,0.048,20
31,24,0.5,0.003,0.016,0.052,19
26,21,0.5,0.003,0.012,0.061,18
27,22,0.5,0.003,0.009,0.061,17
27,19,0.5,0.003,0.011,0.059,16
26,20,0.5,0.003,0.011,0.057,15
23,16,0.4,0.003,0.007,0.058,14
22,12,0.4,0.003,0.006,0.058,13
28,20,0.5,0.003,0.009,0.056,12
31,21,0.6,0.002,0.011,0.056,11
23,13,0.5,0.002,0.012,0.051,10
18,10,0.4,0.002,0.013,0.042,09
12,6,0.4,0.003,0.013,0.041,08
11,8,0.4,0.003,0.011,0.037,07
10,5,0.4,0.003,0.010,0.036,06
9,7,0.3,0.002,0.007,0.043,05
10,6,0.3,0.003,0.006,0.042,04
11,9,0.3,0.002,0.006,0.041,03
13,7,0.3,0.002,0.007,0.041,02
12,7,0.4,0.003,0.008,0.041,01
13,7,0.4,0.003,0.010,0.042,24
7,7,0.4,0.003,0.011,0.040,23
8,5,0.3,0.003,0.009,0.041,22
12,7,0.4,0.002,0.013,0.038,21
10,5,0.4,0.002,0.010,0.044,20
16,7,0.4,0.002,0.010,0.044,19
17,9,0.4,0.003,0.013,0.045,18
10,7,0.4,0.003,0.015,0.049,17
6,4,0.4,0.003,0.016,0.045,16
3,1,0.4,0.003,0.010,0.044,15
7,4,0.4,0.002,0.011,0.040,14
9,7,0.3,0.003,0.009,0.040,13
11,7,0.3,0.002,0.012,0.035,12
16,10,0.3,0.002,0.015,0.030,11
18,13,0.3,0.003,0.016,0.026,10
17,11,0.3,0.003,0.015,0.028,09
16,11,0.3,0.003,0.018,0.027,08
17,12,0.3,0.003,0.014,0.031,07
17,12,0.3,0.003,0.013,0.034,06
20,15,0.4,0.003,0.016,0.028,05
18,13,0.4,0.003,0.014,0.028,04
18,13,0.4,0.003,0.012,0.033,03
17,12,0.4,0.002,0.012,0.038,02
17,12,0.4,0.002,0.014,0.042,01
26,15,0.4,0.003,0.010,0.051,24
21,17,0.4,0.003,0.023,0.035,23
22,17,0.5,0.003,0.034,0.031,22
21,15,0.4,0.003,0.025,0.051,21
19,13,0.4,0.003,0.025,0.052,20
20,14,0.4,0.003,0.021,0.057,19
22,16,0.4,0.003,0.015,0.067,18
18,11,0.4,0.003,0.014,0.069,17
18,14,0.4,0.003,0.012,0.069,16
21,13,0.4,0.003,0.012,0.075,15
18,13,0.4,0.003,0.013,0.071,14
18,13,0.4,0.003,0.012,0.063,13
15,11,0.4,0.002,0.017,0.048,12
14,10,0.4,0.003,0.016,0.040,11
12,5,0.4,0.003,0.015,0.032,10
12,4,0.4,0.003,0.017,0.022,09
13,8,0.3,0.002,0.013,0.025,08
13,11,0.3,0.003,0.012,0.024,07
13,9,0.3,0.002,0.008,0.029,06
15,9,0.3,0.003,0.005,0.032,05
13,9,0.3,0.003,0.006,0.031,04
13,9,0.3,0.002,0.005,0.033,03
14,10,0.3,0.002,0.006,0.033,02
15,9,0.3,0.003,0.008,0.033,01
15,10,0.3,0.003,0.009,0.033,24
12,9,0.3,0.002,0.010,0.033,23
15,11,0.3,0.002,0.014,0.031,22
16,13,0.4,0.003,0.014,0.031,21
16,9,0.4,0.003,0.016,0.031,20
13,10,0.3,0.003,0.014,0.039,19
14,10,0.3,0.003,0.011,0.043,18
13,9,0.3,0.003,0.012,0.050,17
12,7,0.3,0.003,0.012,0.052,16
11,10,0.3,0.003,0.009,0.047,15
12,7,0.3,0.003,0.008,0.050,14
14,11,0.3,0.002,0.009,0.048,13
16,8,0.3,0.003,0.011,0.042,12
16,10,0.3,0.003,0.013,0.036,11
14,7,0.3,0.002,0.012,0.036,10
17,10,0.3,0.003,0.014,0.031,09
15,8,0.3,0.002,0.013,0.030,08
16,8,0.3,0.002,0.011,0.030,07
13,8,0.3,0.002,0.008,0.033,06
12,8,0.3,0.003,0.006,0.033,05
11,7,0.3,0.003,0.007,0.031,04
10,5,0.3,0.002,0.006,0.032,03
11,7,0.3,0.002,0.005,0.035,02
13,6,0.3,0.002,0.006,0.036,01
11,6,0.3,0.002,0.006,0.035,24
9,7,0.3,0.003,0.006,0.035,23
10,6,0.3,0.002,0.007,0.033,22
10,7,0.3,0.003,0.008,0.033,21
10,6,0.3,0.002,0.008,0.033,20
10,5,0.3,0.003,0.006,0.036,19
9,5,0.3,0.002,0.008,0.042,18
7,3,0.3,0.003,0.007,0.046,17
9,6,0.3,0.003,0.009,0.044,16
8,8,0.3,0.003,0.010,0.044,15
9,6,0.3,0.002,0.009,0.043,14
9,6,0.3,0.003,0.007,0.038,13
8,4,0.3,0.002,0.009,0.034,12
10,5,0.3,0.003,0.015,0.028,11
10,7,0.3,0.003,0.018,0.023,10
13,8,0.3,0.003,0.019,0.023,09
13,9,0.3,0.002,0.019,0.023,08
14,9,0.3,0.002,0.016,0.020,07
12,8,0.3,0.003,0.011,0.024,06
11,6,0.3,0.002,0.007,0.027,05
11,7,0.3,0.002,0.009,0.022,04
10,9,0.3,0.002,0.007,0.030,03
8,5,0.3,0.003,0.007,0.031,02
7,3,0.3,0.002,0.007,0.029,01
5,3,0.3,0.003,0.012,0.022,24
5,4,0.3,0.002,0.012,0.021,23
6,5,0.3,0.003,0.012,0.022,22
19,11,0.4,0.002,0.016,0.021,21
22,9,0.4,0.002,0.027,0.018,20
12,11,0.4,0.003,0.018,0.027,19
